"22.5.2013 13:27";"Kol Ami";"Authentic Israel";"GabiG@authenticisrael.com";"972542215454";"972587507000";"F7";"http://www.authenticisrael.com/";"https://www.facebook.com/pages/%D7%A7%D7%95%D7%9C-%D7%A2%D7%9E%D";"•Young Jews from Israel and around the world getting to know Isr";"F11";"18-22";"yes";"01/09/2013";"F15";"F16";"F17";"in months";"6";"all year round";"9500";"housing, full board, tuition";"leadership & activism training";"leadership & activism training, tour Israel, aliyah";"F25";"sports, politics, social issues & Israeli society, judaism, Isra";""volunteer opportunities, outdoor challenge, environment & Natur";"Enrichment activities & Fun, Volunteer, Study, Explore Israel's";"English";"Israel";"the north, Jerusalem and surrounding areas";"F32";"F33"
"20.12.2012 11:00";"Tzofim Garin Tzabar";"Tzofim Tzabar Olami";"garinil@zofim.org.il";"972-3-6303652";"972-54-2440125";"http://www.zofim.org.il/troop_main.asp?troop_id=48497296";"http://www.israelscouts.org/index.php?option=com_content&view=article&id=295:tzofim-garin-tzabar&catid=12&Itemid=63";"https://www.regpacks.com/reg/templates/tzofim/index.php?g_id=139#/https://www.regpacks.com/reg/forms/form_html/fallback/register.php";"Garin Tzabar is a unique program for Lone Soldiers founded in 1991. Garin Tzabar is aimed for all Jewish young adults in the Diaspora, who wish to move to Israel and serve in the IDF. Upon their arrival in Israel, the group is adopted by the Israel Scouts and placed in a hosting Kibbutz.";"semester to year programs for ages 18-30";"18-22";"yes";"";"27/12/2013";"";"";"in months";"36";"all year round";"8000";"housing, full board, tuition";"";"hebrew ulpan, leadership & activism training, tour Israel, partnership together, aliyah";"";"sports, politics, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers, ti";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"Hebrew";"Israel";"all over the country";"";""
"19.12.2012 16:37";"International M.A. in Security and Diplomacy Studies";"Tel Aviv University";"secdip@post.tau.ac.il";"03-6409540";"";"http://international.tau.ac.il/";"http://socsci.tau.ac.il/sec-dip/";"http://socsci.tau.ac.il/sec-dip/";"The program brings together renowned scholars and leading experts in both security and diplomacy, offering students a unique learning experience in English. The curriculum incorporates educational tours to Israel's various borders, defenses, and government offices; and meetings with Israeli officials and foreign ambassadors. Students come from all over the world and are encouraged to undertake internships and other extra-curricular activities during an exciting year in Israel.";"semester to year programs for ages 18-30";"18-30";"yes";"01/10/2013";"";"";"";"in months";"12";"all year round";"16500";"tuition";"academic study";"tour Israel";"";"politics, social issues & Israeli society, Israeli history & Zionism";""volunteer opportunities, internship tour israel, educational seminars, meet Israeli peers, Israel & International tour"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"Tel aviv and surrounding areas";"";""
"17.12.2012 10:38";"Shnat Hachshara UK";"Hanoar Hatzioni";"recaz@hanoar.co.uk";"02089071480";"";"http://www.hanoar.co.uk";"http://www.hanoar.co.uk";"http://www.hholamit.org.il/links.asp?ln=he";"Hanoar Hatzioni Shnat Hachara is our 10-month long program in Israel. Our youngest Madrichim come to study, volunteer, and simply live in the land of Israel.";"gap year (between high school and University)";"18-22";"yes";"09/09/2013";"";"";"";"in months";"12";"all year round";"18000";"housing, flights, full board";"leadership & activism training";"hebrew ulpan, leadership & activism training, tour Israel, partnership together";"";"politics, arts, science, social issues & Israeli society, judaism, Israeli history & Zionism";""volunteer opportunities, outdoor challenge, internship tour israel, educational seminars, environment & Nature, Jewish study, meet Israeli peers, ti";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"all over the country";"";""
"16.12.2012 15:00";"Business Adventure";"Hanoar Hatzioni";"dhzapolslski@gmail.com";"972-3-5301396";"972-52-7726586";"http://www.hholamit.org.il";"http://www.hholamit.org.il";"http://www.hholamit.org.il/contact.asp?ln=he";"Business Adventure is a Gap-Year program. Our basic curriculum is aimed to young entrepreneurs willing to get acquainted with oportunities in Israel while living, studying, volunteering, and exploring in the land of Israel.";"gap year (between high school and University)";"18-22";"yes";"";"";"";"";"in months";"5";"all year round";"8600";"housing, full board";"";"hebrew ulpan, leadership & activism training, tour Israel";"";"sports, social issues & Israeli society, judaism, Israeli history & Zionism, business";""volunteer opportunities, educational seminars, environment & Nature, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel, kibbutz experience";"Spanish";"Israel";"all over the country";"";""
"16.12.2012 13:38";"Israel Challenge";"Hanoar Hatzioni";"director.la@israelchallenge.org";"972-3-5301396";"972-527726586";"http://www.israelchallenge.org";"http://www.israelchallenge.org";"http://www.hholamit.org.il/contact.asp?ln=he";"Israel Challenge is a Gap-Year program offering a diverse hands-on experience. Our basic curriculum is divided into 4 stages giving each participant the liberty to choose among various options.";"gap year (between high school and University)";"18-22";"yes";"";"";"";"";"in months";"5";"all year round";"8600";"housing, full board";"leadership & activism training";"hebrew ulpan, leadership & activism training, tour Israel";"";"sports, politics, social issues & Israeli society, judaism, Israeli history & Zionism, business";""volunteer opportunities, educational seminars, environment & Nature, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel, kibbutz experience";"Spanish";"Israel";"all over the country";"";""
"12.12.2012 23:05";"March of the Living";"Canada Israel Experience";"asaxe@ujafed.org";"(416) 398-6931 Ext 5282";"";"http://www.canadaisraelexperience.com";"http://www.marchoftheliving.org";"http://marchoftheliving.org/contact-us/";"The March of the Living is a program funded by Jewish Federations of Canada-UIA and by local UJA and CJA Federations. The March of the Living is a two-week educational experience that takes place in Poland and Israel. Hundreds of students each year mark two of the most important dates in Jewish History. On Yom Hashoah (Holocaust Remembrance Day) students participate in a three-kilometer march from Auschwitz to Birkenau as a silent tribute to victims of the Shoah. Students observe Yom Ha’zikaron (Israel’s Memorial Day) and celebrate Yom Ha’atzmaut (Israel’s Independence Day) while they are in Israel";"less than 4 weeks for students and young adults";"14-18";"no";"";"";"";"";"in days";"14";"summer";"5900";"housing, flights, full board, visit additional countries, tuition";"jewish study";"tour Israel";"";"politics, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""tour israel, educational seminars, Jewish study"";"Enrichment activities & Fun, study, explore Israel's heritage, travel";"English";"Israel";"all over the country";"";""
"12.12.2012 22:44";"Taglit-Birthrigth Israel: Canada Israel Experience";"Canada Israel Experience";"infor@canadaisraelexperience.com";"(416) 398-6931";"";"http://www.canadaisraelexperience.com";"http://www.israelforfree.com";"http://www.canadaisraelexperience.com/iwanttogo/programs/iffhome/home.aspx";"From the breathtaking views from Masada to the buzzing excitement of an Israeli market, Taglit-Birthright Israel:CIE has something to offer everyone. Join others from your local community or from across Canada on the experience of a lifetime to connect with the people, the history and the land of Israel itself. Learn about Israeli heritage and immerse yourself in the country's modern, diverse, and vibrant culture. Explore your homeland in the company of Israeli soldiers who will join your group for once-in-a-lifetime experiences such as floating in the Dead Sea, drumming with the Bedouins in their desert tents, and Shabbat services at the Western Wall. There is no better way to experience Israel while making lifelong friendships with other young adults from back home!";"taglit birthright Israel";"18-22";"no";"";"";"";"";"in days";"10";"all year round";"";"housing, flights, full board";"touring the country";"tour Israel";"";"politics, arts, science, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, technology, spirituality";""tour israel, educational seminars, Jewish study"";"Enrichment activities & Fun, study, explore Israel's heritage, travel";"English";"Israel";"all over the country";"";""
"11.12.2012 22:24";"Taglit-Birthright Israel with Israel Experience";"Israel Experience";"info@freejourneytoisrael.org";"1-866-993-8822";"1-888-986-4999";"http://www.theisraelexperience.org";"http://www.freejourneytoisrael.org";"http://www.freejourneytoisrael.org";"Spend ALL 10 days of your trip together with Israeli peers. Our trips are pluralistic, experiential and participants come from all over the U.S., from a wide variety of professional and educational backgrounds and cover the plurality of the American Jewish spectrum - from modern Orthodox to no Jewish background.";"taglit birthright Israel";"18-30";"no";"";"";"";"";"in days";"10";"all year round";"0";"housing, flights";"touring the country";"";"";"politics, arts, science, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, technology";""volunteer opportunities, tour israel, educational seminars, environment & Nature, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel, kibbutz experience";"English";"Israel";"all over the country";"";""
"11.12.2012 18:19";"Israel Teaching Fellows";"Israel Experience";"orlysh@israelexperience.org.il";"+972-2-621-6541";"";"http://www.theisraelexperience.org.il/";"http://www.theisraelexperience.org.il/itf";"http://www.israelexperience.org.il/itf";"ITF will bring about change in Israeli schools through a new and innovative program where fellows will partner with Israeli teachers to work in 3rd- 8th grade English classes in Israel. This comprehensive program will provide you with a supportive environment to give you the tools to succeed and make a difference in the lives of Israeli children.";"semester to year programs for ages 18-30";"18-30";"yes";"22/08/2013";"21/08/2014";"";"";"in months";"10";"all year round";"";"housing, flights, full board";"community service";"hebrew ulpan, leadership & activism training, tour Israel";"";"politics, arts, science, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, business, technology, spirituality";""volunteer opportunities, internship tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"Tel aviv and surrounding areas";"";""
"10.12.2012 11:55";"Onward Israel Pittsburgh Internship Program";"Career Israel of the Israel Experience Inc.";"aharond@hilleljuc.org";"";"";"http://careerisrael.com/";"http://www.onwardisrael.com/category/pittsburgh";"http://careerisrael.com/pittsburgh-onward-israel-internship-program/";"Develop your professional future and build your resume through a high-level internship side by side with Israeli peers. This Tel Aviv based internship program places you in a work place based on your skills, interests and future plans. Intern four days a week where one day a week will be devoted to learning about and experiencing contemporary Israeli society. Outside of your placement, spend quality time with Israelis and explore Tel Aviv’s exciting nightlife, beaches and culture. Enjoy a weekend of hospitality in Pittsburgh’s Partnership communities of Karmiel and Misgav in the Central Galilee and a weekend retreat with Jewish students from across North America and the world. Through this experience, opportunities will be available to learn about the Pittsburgh community’s investment in Israel, and how to create Israeli engagement back in Pittsburgh.";"4-10 week programs for students and young adults";"18-30";"no";"";"";"";"";"in months";"2";"summer";"400";"housing, full board, tuition";"internship";"tour Israel";"";"social issues & Israeli society, judaism, Israeli history & Zionism";""internship tour israel, educational seminars, meet Israeli peers"";"study, explore Israel's heritage, travel, internship";"English";"Israel";"Tel aviv and surrounding areas";"";""
"10.12.2012 11:43";"Onward Israel Boston Professional Internship in Haifa";"Career Israel of the Israel Experience Inc.";"jordanab@israelexperience.org.il";"";"";"http://careerisrael.com/";"http://www.onwardisrael.com/category/boston-service-learning-1";"http://careerisrael.com/boston-onward-israel-haifa-track/";"Develop your professional future and build your resume through a high-level internship in the field of your choice in Haifa. This tailor-made internship program places you in a work place based on your skills, interests and future plans. In addition, each week will feature a day devoted to learning about Israeli society, economy, technology and more. Features an additional weekend program with other students from Boston, and a retreat with other Onward Israel participants from North America and the world.";"4-10 week programs for students and young adults";"18-30";"no";"";"";"";"";"in months";"2";"summer";"300";"housing, full board, tuition";"internship";"leadership & activism training, tour Israel";"";"social issues & Israeli society, judaism, Israeli history & Zionism";""internship tour israel, educational seminars, environment & Nature, meet Israeli peers"";"study, explore Israel's heritage, travel, internship";"English";"Israel";"the north";"";""
"10.12.2012 11:32";"Onward Israel Boston Professional Internship in Jerusalem";"Career Israel of the Israel Experience Inc.";"jordanab@israelexperience.org.il";"";"";"http://careerisrael.com/";"http://www.onwardisrael.com/category/boston-internship";"http://careerisrael.com/boston-onward-israel-jerusalem-track/";"Develop your professional future and build your resume through a high-level internship side by side with Israeli peers. This tailor-made Jerusalem based internship program places you in a work place based on your skills, interests and future plans. In addition, each week will feature a day devoted to learning about Israeli society, economy, technology and more. Features an additional weekend program in Haifa and a retreat with other Onward Israel participants from North America and the world.";"4-10 week programs for students and young adults";"18-30";"no";"";"";"";"";"in months";"2";"summer";"300";"housing, full board, tuition";"internship";"leadership & activism training, tour Israel";"";"social issues & Israeli society, judaism, Israeli history & Zionism";""internship tour israel, educational seminars, environment & Nature, meet Israeli peers"";"study, explore Israel's heritage, travel, internship";"English";"Israel";"Jerusalem and surrounding areas";"";""
"10.12.2012 11:07";"Onward Israel Greater Metrowest NJ Negev Fellowship Program";"Young Judaea";"dyizrael@jfedgmw.org";"973-929-3018";"973-929-3073";"http://www.youngjudaea.org/";"http://www.onwardisrael.com/category/greater-metrowest-nj-1";"http://www.jfedgmw.org/negev";"Last October, Lonely Planet ranked the Negev, which covers most of southern Israel, second place in its annual list of top ten regions to visit. The Onward Israel Negev Fellowship is your chance to see for yourself. This innovative, challenging fellowship provides a comprehensive perspective on a variety of issues in today’s Israeli society, with a focus on sustainable development in the Negev region. Learn about development strategies and their impact through a diverse lens, touching upon education, business, health, transportation, energy, technology, civil rights, ecology, and politics. Combine academic lectures with hands-on service opportunities, environment & Nature, and meetings with leading Israeli activists and policy makers. Participants will explore a variety of relevant topics and choose a track to focus upon. The program will also include ways to apply your experience in Israel once you return home.";"4-10 week programs for students and young adults";"18-30";"no";"";"";"";"";"in months";"2";"summer";"360";"housing, full board, tuition";"leadership & activism training";"leadership & activism training, tour Israel";"";"politics, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, business, technology";""tour israel, educational seminars, environment & Nature, meet Israeli peers"";"study, explore Israel's heritage, travel, internship, Enrichment activities & Fun";"English";"Israel";"the south";"";""
"06.12.2012 15:44";"Onward Cleveland Israel";"Career Israel of the Israel Experience Inc.";"mbalkan@jcfcleve.org";"216-593-2921";"";"http://careerisrael.com/";"http://www.onwardisrael.com/category/cleveland-1";"http://www.onwardisrael.com/category/faq";"Be a part of an 8-week Internship program for 20-25 year olds in Tel Aviv this summer! Live and immerse yourself in Israeli culture. Experience Tel Aviv’s vibrant nightlife, beautiful beaches and so much more. Learn about important issues facing Israel today. Work as an intern in the arts, business, finance, communications, non-profits, high-tech and more.";"4-10 week programs for students and young adults";"18-30";"no";"";"";"";"";"in months";"2";"summer";"300";"housing, full board, tuition";"internship";"leadership & activism training, tour Israel";"";"social issues & Israeli society, judaism, Israeli history & Zionism";""internship tour israel, educational seminars, meet Israeli peers"";"study, explore Israel's heritage, travel, internship";"English";"Israel";"Tel aviv and surrounding areas";"";""
"06.12.2012 15:33";"Onward Israel CLIP New York";"Career Israel of the Israel Experience Inc.";"cliponwardisrael@gmail.com";"";"";"http://careerisrael.com/";"http://www.onwardisrael.com/category/new-york-1";"http://careerisrael.com/new-york-onward-israel-internship-program/";"Onward Israel is a new opportunity created out of the collaboration between The Bronfman Center of NYU, UJA- Federation of New York and the Jewish Agency for Israel’s Onward Israel initiative. This highly subsidized 8-week professional internship program allows Jewish college students from the New York area to live in Tel Aviv, have a fantastic internship in a field of their interest, gain professional training and development, and explore a new country and culture.";"4-10 week programs for students and young adults";"18-30";"no";"";"";"";"";"in months";"2";"summer";"440";"housing, full board, tuition";"internship";"leadership & activism training, tour Israel";"";"social issues & Israeli society, judaism, Israeli history & Zionism";""internship tour israel, educational seminars, meet Israeli peers"";"study, explore Israel's heritage, travel, internship";"English";"Israel";"Tel aviv and surrounding areas";"";""
"05.12.2012 21:30";"Northern Exposure";"Livnot U\'Lehibanot";"admissions@livnot.com";"972-52-429-5377";"1-8888-LIVNOT";"http://www.livnot.org";"http://www.livnot.org/israel-programs/northern-exposure/";"http://www.livnot.org/israel-programs/northern-exposure/extend-your-birthright-trip/";"Livnot’s Northern Exposure offers an unbeatable combination of amazing hikes, meaningful volunteer activities, experiential seminars, and learning through nature—all in just one week and for only $100! Experience the Galilee with all of your senses, lunch with local families, make a difference in Israel and create a unique community.";"less than 4 weeks for students and young adults";"23-30";"no";"";"";"25/08/2013";"";"in weeks";"1";"all year round";"350";"housing, full board, tuition";"community service";"tour Israel";"";"arts, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers"";"study, explore Israel's heritage, travel, internship, Enrichment activities & Fun, Volunteer";"English";"Israel";"the north";"";""
"05.12.2012 21:00";"Galilee Fellowship";"Livnot U\'Lehibanot";"admissions@livnot.com";"974-52-429-5377";"1-8888-LIVNOT";"http://www.livnot.org";"http://www.livnot.org/israel-programs/galilee-fellowship/";"http://www.livnot.org/israel-programs/galilee-fellowship/life-at-livnot/";"Livnot's Galilee Fellowship is a fusion of challenging hikes, meaningful community service, and spiritual exploration in the mystical city of Tzfat. Livnot is your home away from home in Israel, the place to build a lasting sense of community through adventure, volunteering, and song-filled sunsets across the breathtaking Galilee hills.";"4-10 week programs for students and young adults";"23-30";"no";"";"";"";"";"in weeks";"4";"all year round";"2000";"housing, full board, tuition";"community service";"tour Israel";"";"arts, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers"";"study, explore Israel's heritage, travel, internship, Enrichment activities & Fun, Volunteer, study";"English";"Israel";"the north";"";""
"05.12.2012 01:32";"Trek Israel + Eco-Quest Costa Rica";"BBYO Passport";"info@bbyopassport.org";"800-698-1002";"";"http://passport.bbyo.org";"http://passport.bbyo.org/destination/trek_il_costa_rica/";"http://passport.bbyo.org/contact/";"Start your summer on Trek Israel with all of the core elements of the Israel Journey program combined with a special focus on connecting to the beauty of Israel. Explore a series of active outdoor experiences – including a “Sea-to-Sea Hike” and a desert orienteering challenge in the heart of the Negev Desert. Then continue from Israel to Costa Rica. Journey into the jungles on Eco-Quest Costa Rica. This active travel experience features zip-lining above cloud forests, hiking on active volcanoes, and kayaking on the tropical beaches of the Pacific Ocean.";"teen travel";"14-18";"no";"";"";"";"";"in days";"35";"summer";"7750";"housing, flights, full board, visit additional countries";"touring the country";"tour Israel";"";"environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism";""outdoor challenge, tour israel, educational seminars, environment & Nature, Jewish study, Israel & International tour"";"study, explore Israel's heritage, travel, Enrichment activities & Fun, Volunteer";"English";"Israel";"all over the country";"";""
"05.12.2012 01:29";"Eco-Quest Costa Rica + Israel Journey Plus";"BBYO Passport";"info@bbyopassport.org";"1-800-698-1002";"";"http://passport.bbyo.org";"http://passport.bbyo.org/destination/eco_quest_costa_rica_israel_journey_plus/";"http://passport.bbyo.org/contact/";"Spend the first four-weeks on Israel Journey Plus traveling from the Galilee in the north to the tropical Red Sea in the south. Experience a Shabbat in Jerusalem, watch the sunrise from on top of Masada, and tap into the innovative spirit of Tel Aviv. Israel Journey Plus also contains an elective week where participants choose from a “Sea-to-Sea Hike” or a “Culture & Innovation Tour"during the first part of the week and a community service project during the second part of the week. After Israel, journey into the jungles of Costa Rica on Eco-Quest Costa Rica. This active travel experience features zip-lining above cloud forests, hiking on active volcanoes, and kayaking on the tropical beaches of the Pacific Ocean.";"teen travel";"14-18";"no";"";"";"";"";"in days";"42";"summer";"8500";"housing, flights, full board, visit additional countries";"touring the country";"tour Israel";"";"environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism";""outdoor challenge, tour israel, educational seminars, environment & Nature, Jewish study, Israel & International tour"";"study, explore Israel's heritage, travel, Enrichment activities & Fun, volunteer";"English";"Israel";"all over the country";"";""
"05.12.2012 01:20";"Eco-Quest Costa Rica + IMPACT: Israel";"BBYO Passport";"info@bbyopassport.org";"1-800-698-1002";"";"http://passport.bbyo.org/";"http://passport.bbyo.org/destination/eco_quest_costa_rica_impact_israel/";"http://passport.bbyo.org/contact/";"Give of yourself on a series of community service projects on IMPACT: Israel. Learn about the technological, environmental and social innovations and innovators that are driving the development of modern Israel. Then continue from Israel to Costa Rica. Journey into the jungles on Eco-Quest Costa Rica. This active travel experience features zip-lining above cloud forests, hiking on active volcanoes, and kayaking on the tropical beaches of the Pacific Ocean.";"teen travel";"14-18";"no";"";"";"";"";"in days";"35";"summer";"7750";"housing, flights, full board, visit additional countries";"touring the country";"tour Israel";"";"environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Jewish study, Israel & International tour"";"study, explore Israel's heritage, travel, Enrichment activities & Fun, volunteer";"English";"Israel";"all over the country";"";""
"05.12.2012 01:12";"Eco-Quest Costa Rica + ILSI";"BBYO Passport";"info@bbyopassport.org";"1-800-698-1002";"";"http://passport.bbyo.org";"http://passport.bbyo.org/destination/eco_quest_costa_rica_intl_leadership_seminar_israel_ILSI/";"http://passport.bbyo.org/contact/";"Start your summer on an elite leadership program designed for BBYO members and welcoming Jewish teens from around the world on ILSI. This enrichment experience combines educational touring, leadership learning, hands-on seminars and community service. Come away with a fuller understanding of Jewish history, a deeper appreciation for the complexity of modern Israel, and an enduring connection to the Jewish People. Then continue from Israel to Costa Rica. Journey into the jungles on Eco-Quest Costa Rica. This active travel experience features zip-lining above cloud forests, hiking on active volcanoes, and kayaking on the tropical beaches of the Pacific Ocean.";"teen travel";"14-18";"no";"";"";"";"";"in days";"35";"summer";"8050";"housing, flights, full board, visit additional countries";"touring the country";"tour Israel";"";"environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism";""outdoor challenge, tour israel, educational seminars, environment & Nature, Jewish study, Israel & International tour"";"study, explore Israel's heritage, travel, Enrichment activities & Fun, volunteer";"English";"Israel";"all over the country";"";""
"05.12.2012 00:15";"Ambassador to Bulgaria + Trek Israel";"BBYO Passport";"info@bbyopassport.org";"1-800-698-1002";"";"http://passport.bbyo.org";"http://passport.bbyo.org/destination/ambassador_to_bulgaria_trek_israel/";"http://passport.bbyo.org/contact/";"Be a part of a close-knit group of teens on Ambassador to Bulgaria, instilling hope in a Jewish community with a remarkable past. Take part in service projects and build lasting friendships with local Jewish teens from Eastern Europe. Then continue from Spain to the Israel on Trek Israel. Experience all of the core elements of Israel Journey combined with a special focus on connecting to the beauty of the Israel through a series of active outdoor experiences – including a “Sea-to-Sea Hike” and a desert orienteering challenge in the heart of the Negev Desert.";"teen travel";"14-18";"no";"";"";"";"";"in days";"29";"summer";"6850";"housing, flights, full board, visit additional countries";"touring the country";"tour Israel";"";"social issues & Israeli society, judaism, Israeli history & Zionism";""volunteer opportunities, tour israel, educational seminars, environment & Nature, Jewish study, Israel & International tour"";"study, explore Israel's heritage, travel, Enrichment activities & Fun, volunteer";"English";"Israel";"all over the country";"";""
"04.12.2012 23:49";"Ambassador to Bulgaria + ILSI";"BBYO Passport";"info@bbyopassport.org";"1-800-698-1002";"";"http://passport.bbyo.org";"http://passport.bbyo.org/destination/ambassador_to_bulgaria_ilsi/";"http://passport.bbyo.org/contact/";"Be a part of a close-knit group of teens on Ambassador to Bulgaria, instilling hope in a Jewish community with a remarkable past. Take part in community service projects and build lasting friendships with local Jewish teens from Eastern Europe. Then travel from Europe to Israel on ILSI, an elite leadership program designed for BBYO members. This enrichment experience combines educational touring, leadership learning, hands-on seminars and community service. Come away with a fuller understanding of Jewish history, a deeper appreciation for the complexity of modern Israel, and an enduring connection to the Jewish People.";"teen travel";"14-18";"no";"";"";"";"";"in days";"29";"summer";"7050";"housing, flights, full board, visit additional countries";"touring the country";"tour Israel";"";"social issues & Israeli society, judaism, Israeli history & Zionism";""educational seminars, environment & Nature, Jewish study, meet Israeli peers"";"study, explore Israel's heritage, travel, Enrichment activities & Fun, volunteer";"English";"Israel";"all over the country";"";""
"04.12.2012 23:38";"Euro-Quest Spain + Israel Journey";"BBYO Passport";"info@bbyopassport.org";"1-800-698-1002";"";"http://passport.bbyo.org";"http://passport.bbyo.org/destination/euro_quest_spain_israel_journey//";"http://passport.bbyo.org/contact/";"Travel throughout the Iberian Peninsula on Euro-Quest Spain, exploring the cities of Barcelona, Madrid, Seville, Toledo, Cordoba and Granada. View the art of Picasso, climb the Rock of Gibraltar, tour Al Hambra Palace, and spend a memorable Shabbat on the island of Majorca surrounded by the Mediterranean Sea. Then continue from Spain to Israel on Israel Journey. Travel from the Galilee in the north to the tropical Red Sea in the south. Experience a Shabbat in Jerusalem, watch the sunrise from the top of Masada, and tap into the innovative spirit of Tel Aviv.";"teen travel";"14-18";"no";"";"";"";"";"in days";"35";"summer";"8150";"housing, flights, full board, visit additional countries";"touring the country";"tour Israel";"";"judaism, Israeli history & Zionism";""educational seminars, environment & Nature, Jewish study, Israel & International tour"";"study, explore Israel's heritage, travel, volunteer";"English";"Israel";"all over the country";"";""
"04.12.2012 23:38";"Euro-Quest Spain + Israel Journey";"BBYO Passport";"info@bbyopassport.org";"1-800-698-1002";"";"http://passport.bbyo.org";"http://passport.bbyo.org/destination/euro_quest_spain_israel_journey//";"http://passport.bbyo.org/contact/";"Travel throughout the Iberian Peninsula on Euro-Quest Spain, exploring the cities of Barcelona, Madrid, Seville, Toledo, Cordoba and Granada. View the art of Picasso, climb the Rock of Gibraltar, tour Al Hambra Palace, and spend a memorable Shabbat on the island of Majorca surrounded by the Mediterranean Sea. Then continue from Spain to Israel on Israel Journey. Travel from the Galilee in the north to the tropical Red Sea in the south. Experience a Shabbat in Jerusalem, watch the sunrise from the top of Masada, and tap into the innovative spirit of Tel Aviv.";"teen travel";"14-18";"no";"";"";"";"";"in days";"35";"summer";"8150";"housing, flights, full board, visit additional countries";"touring the country";"tour Israel";"";"judaism, Israeli history & Zionism";""educational seminars, environment & Nature, Jewish study, Israel & International tour"";"study, explore Israel's heritage, travel, volunteer";"English";"Israel";"all over the country";"";""
"04.12.2012 23:16";"Euro-Israel Journey Central";"BBYO Passport";"info@bbyopassport.org";"1-800-698-1002";"";"http://passport.bbyo.org";"http://passport.bbyo.org/destination/euro_israel_journey_central/";"http://passport.bbyo.org/contact/";"Travel to Prague and Budapest to explore the cultural riches and achievements of the Jewish People in Europe. Continue on to Poland and bear witness to the destruction of the Holocaust at Auschwitz-Birkenau, Krakow, and Warsaw. Then continue from Europe to Israel, traveling from the Galilee in the north to the tropical Red Sea in the south. Experience a Shabbat in Jerusalem, watch the sunrise from the top of Masada, and tap into the innovative spirit of Tel Aviv.";"teen travel";"14-18";"no";"";"";"";"";"in days";"30";"summer";"6900";"housing, flights, full board, visit additional countries";"touring the country";"tour Israel";"";"judaism, Israeli history & Zionism";""educational seminars, environment & Nature, Jewish study, Israel & International tour"";"study, explore Israel's heritage, travel, volunteer";"English";"Israel";"all over the country";"";""
"04.12.2012 23:08";"Euro-Israel Journey Spain";"BBYO Passport";"info@bbyopassport.org";"1-800-698-1002";"";"http://passport.bbyo.org";"http://passport.bbyo.org/destination/euro_israel_journey_spain/";"http://passport.bbyo.org/contact/";"A weeklong tour of Spain’s Andalusia region followed by the core three-week Israel Journey experience. Retrace Jewish history during the Golden Age of Spain, climb the Rock of Gibraltar, and soak up the sun on Spain’s famous Costa Del Sol. Then continue from Spain to Israel, traveling from the Galilee in the north to the tropical Red Sea in the south. Experience a Shabbat in Jerusalem, watch the sunrise from the top of Masada, and tap into the innovative spirit of Tel Aviv.";"teen travel";"14-18";"no";"";"";"";"";"in days";"28";"summer";"6650";"housing, flights, full board, visit additional countries";"touring the country";"tour Israel";"";"social issues & Israeli society, judaism, Israeli history & Zionism";""educational seminars, environment & Nature, Israel & International tour"";"study, explore Israel's heritage, travel, volunteer";"English";"Israel";"all over the country";"";""
